sentence_id,text,label
HCH_006_002_000001,太宗,PER
HCH_006_002_000001,英文,PER
HCH_006_002_000001,皇帝,TITLE
HCH_006_002_000001,窩闊台,PER
HCH_006_002_000001,太祖,PER
HCH_006_002_000001,三,NUM
HCH_006_002_000002,光獻,PER
HCH_006_002_000002,皇后,TITLE
HCH_006_002_000002,弘吉剌,PER
HCH_006_002_000003,太祖,PER
HCH_006_002_000003,金,LOC
HCH_006_002_000003,西域,LOC
HCH_006_002_000004,太祖,PER
HCH_006_002_000004,霍博,LOC
HCH_006_002_000005,元年己丑,TME
HCH_006_002_000005,忽魯班雪不只,LOC
HCH_006_002_000006,拖雷,PER
HCH_006_002_000007,秋八月己未,TME
HCH_006_002_000007,百,NUM
HCH_006_002_000007,怯綠連河曲雕阿蘭,LOC
HCH_006_002_000007,太祖,PER
HCH_006_002_000007,皇帝,TITLE
HCH_006_002_000007,庫鐵烏阿剌里,LOC
HCH_006_002_000010,金,LOC
HCH_006_002_000010,阿虎帶,PER
HCH_006_002_000010,太祖,PER
HCH_006_002_000011,金,LOC
HCH_006_002_000012,百,NUM
HCH_006_002_000012,一,NUM
HCH_006_002_000012,百,NUM
HCH_006_002_000012,一,NUM
HCH_006_002_000012,百,NUM
HCH_006_002_000012,一,NUM
HCH_006_002_000014,河北漢,LOC
HCH_006_002_000014,耶律楚材,PER
HCH_006_002_000014,西域,LOC
HCH_006_002_000014,麻合沒的滑剌西迷,PER
HCH_006_002_000015,木羅,PER
HCH_006_002_000016,西域伊思八剌納,LOC
HCH_006_002_000017,金復遣使,TITLE
HCH_006_002_000019,二年庚寅春正月,TME
HCH_006_002_000020,定諸路,LOC
HCH_006_002_000020,十,NUM
HCH_006_002_000020,一,NUM
HCH_006_002_000020,三十,NUM
HCH_006_002_000020,一,NUM
HCH_006_002_000021,拖雷,PER
HCH_006_002_000021,斡兒寒河,LOC
HCH_006_002_000021,兆,NUM
HCH_006_002_000022,金,LOC
HCH_006_002_000023,夏,LOC
HCH_006_002_000023,塔密兒河,LOC
HCH_006_002_000024,朶忽魯,PER
HCH_006_002_000024,金,LOC
HCH_006_002_000024,速不台,PER
HCH_006_002_000025,秋七月,TME
HCH_006_002_000025,拖雷,PER
HCH_006_002_000025,蒙哥,PER
HCH_006_002_000025,天成,LOC
HCH_006_002_000025,遂渡,LOC
HCH_006_002_000025,鳳翔,LOC
HCH_006_002_000026,冬十一月,TME
HCH_006_002_000026,始置十路,LOC
HCH_006_002_000026,徵收課稅使,TITLE
HCH_006_002_000026,陳時可,PER
HCH_006_002_000026,趙昉使,TITLE
HCH_006_002_000026,燕京,LOC
HCH_006_002_000026,劉中,PER
HCH_006_002_000026,劉桓使,TITLE
HCH_006_002_000026,宣德,LOC
HCH_006_002_000026,周立和,PER
