sentence_id,text,label
HCH_006_001_000001,太祖,PER
HCH_006_001_000001,法天啟運聖武皇帝,TITLE
HCH_006_001_000001,鐵木真,PER
HCH_006_001_000001,奇渥溫氏,PER
HCH_006_001_000001,蒙古部,ORG
HCH_006_001_000002,孛端叉兒,PER
HCH_006_001_000002,阿蘭果火,PER
HCH_006_001_000002,脫奔咩哩犍,PER
HCH_006_001_000002,博寒葛答黑,PER
HCH_006_001_000002,博合覩撒里直,PER
HCH_006_001_000003,阿蘭,PER
HCH_006_001_000004,阿蘭,PER
HCH_006_001_000004,孛端叉兒,PER
HCH_006_001_000005,孛端叉兒,PER
HCH_006_001_000006,阿蘭,PER
HCH_006_001_000006,阿蘭,PER
HCH_006_001_000007,孛端叉兒,PER
HCH_006_001_000007,八里屯,LOC
HCH_006_001_000007,阿懶,LOC
HCH_006_001_000008,孛端叉兒,PER
HCH_006_001_000010,孛端叉兒,PER
HCH_006_001_000011,仲,PER
HCH_006_001_000012,孛端叉兒,PER
HCH_006_001_000012,急里忽魯,ORG
HCH_006_001_000013,孛端叉兒,PER
HCH_006_001_000014,孛端叉兒,PER
HCH_006_001_000014,八林昔黑剌禿合必畜,PER
HCH_006_001_000014,咩撚篤敦,PER
HCH_006_001_000015,咩撚篤敦,PER
HCH_006_001_000015,莫挐倫,PER
HCH_006_001_000016,莫挐倫,PER
HCH_006_001_000017,押剌伊而,PER
HCH_006_001_000017,莫挐倫,PER
HCH_006_001_000018,押剌伊,PER
HCH_006_001_000018,莫挐倫,PER
HCH_006_001_000019,莫挐倫,PER
HCH_006_001_000020,莫挐倫,PER
HCH_006_001_000022,押剌伊而,PER
HCH_006_001_000022,莫挐倫,PER
HCH_006_001_000023,海都,PER
HCH_006_001_000024,莫挐倫,PER
HCH_006_001_000024,納真,PER
HCH_006_001_000024,八剌忽,ORG
HCH_006_001_000025,海都,PER
HCH_006_001_000026,納真,PER
HCH_006_001_000027,押剌伊,PER
HCH_006_001_000029,納真,PER
HCH_006_001_000029,「,PER
HCH_006_001_000029,「,PER
HCH_006_001_000029,」,PER
HCH_006_001_000029,」,PER
HCH_006_001_000029,」,PER
HCH_006_001_000029,」,PER
HCH_006_001_000029,「,PER
HCH_006_001_000029,」,PER
HCH_006_001_000032,納,PER
HCH_006_001_000033,納真,PER
HCH_006_001_000035,納真,PER
HCH_006_001_000037,海都,ORG
HCH_006_001_000038,海都,PER
HCH_006_001_000038,納真,PER
HCH_006_001_000038,八剌忽怯谷,ORG
HCH_006_001_000039,海都,PER
HCH_006_001_000039,押剌,ORG
HCH_006_001_000040,八剌合黑河,LOC
HCH_006_001_000042,海都,PER
HCH_006_001_000042,拜姓忽兒,PER
HCH_006_001_000043,忽兒,PER
HCH_006_001_000043,敦必乃,PER
HCH_006_001_000044,敦,PER
HCH_006_001_000044,葛,PER
HCH_006_001_000045,八哩丹,PER
HCH_006_001_000046,八哩丹,PER
HCH_006_001_000046,也速該,PER
HCH_006_001_000047,也速該,PER
HCH_006_001_000047,烈祖神元皇帝,PER
HCH_006_001_000048,烈祖,PER
HCH_006_001_000048,塔塔兒部,ORG
HCH_006_001_000048,部長,TITLE
HCH_006_001_000048,鐵木真,PER
HCH_006_001_000049,宣懿太后,PER
HCH_006_001_000049,帝,PER
HCH_006_001_000050,烈祖,PER
HCH_006_001_000050,鐵木真,PER
HCH_006_001_000051,泰,PER
HCH_006_001_000051,烈祖,PER
HCH_006_001_000051,塔兒不台,PER
HCH_006_001_000052,烈祖,PER
HCH_006_001_000052,帝,PER
HCH_006_001_000053,近侍,TITLE
HCH_006_001_000053,脫端火兒真,PER
HCH_006_001_000054,脫端,PER
HCH_006_001_000055,宣懿太后,PER
HCH_006_001_000056,帝,PER
HCH_006_001_000056,搠,PER
HCH_006_001_000056,薩里河,LOC
HCH_006_001_000057,札木合部,ORG
HCH_006_001_000057,禿台察兒,PER
HCH_006_001_000057,玉律哥泉,LOC
HCH_006_001_000057,薩里河,LOC
HCH_006_001_000058,搠只,PER
HCH_006_001_000059,札木合,PER
HCH_006_001_000059,泰赤烏,ORG
HCH_006_001_000060,帝,PER
HCH_006_001_000060,答闌版朱思,LOC
HCH_006_001_000061,帝,PER
HCH_006_001_000062,泰赤烏,ORG
HCH_006_001_000063,帝,PER
HCH_006_001_000064,帝,PER
HCH_006_001_000064,照烈,PER
HCH_006_001_000064,帝,PER
HCH_006_001_000064,照烈,PER
HCH_006_001_000065,帝,PER
HCH_006_001_000065,照烈,PER
HCH_006_001_000065,照烈,PER
HCH_006_001_000066,泰赤烏,PER
HCH_006_001_000066,鐵木真太子,PER
HCH_006_001_000066,照烈,PER
HCH_006_001_000066,玉律,PER
HCH_006_001_000066,泰赤烏,PER
HCH_006_001_000066,塔海答魯,PER
HCH_006_001_000066,泰赤烏,PER
HCH_006_001_000067,帝,PER
HCH_006_001_000068,塔海答魯,PER
HCH_006_001_000068,中路,LOC
HCH_006_001_000068,泰赤烏部,ORG
HCH_006_001_000068,照烈部,ORG
HCH_006_001_000069,帝,PER
HCH_006_001_000069,泰赤烏,ORG
HCH_006_001_000069,帝,PER
HCH_006_001_000070,赤老溫,PER
HCH_006_001_000070,哲別,PER
HCH_006_001_000070,失力哥也不干,PER
HCH_006_001_000070,朵郎吉,PER
HCH_006_001_000070,札剌兒,PER
HCH_006_001_000070,忙兀,PER
HCH_006_001_000071,帝,PER
HCH_006_001_000071,薛徹,PER
HCH_006_001_000071,大丑,PER
HCH_006_001_000071,薛徹,PER
HCH_006_001_000071,斡難河,LOC
HCH_006_001_000072,帝,PER
HCH_006_001_000072,薛徹別吉,PER
HCH_006_001_000072,忽兒真,PER
HCH_006_001_000072,薛徹別吉,PER
HCH_006_001_000072,野別該,PER
HCH_006_001_000073,忽兒真,PER
HCH_006_001_000073,丘兒,PER
HCH_006_001_000075,別里古台,PER
HCH_006_001_000075,播里,PER
HCH_006_001_000075,薛徹,PER
HCH_006_001_000077,播里,PER
HCH_006_001_000078,別里古台,PER
HCH_006_001_000078,忽兒,PER
HCH_006_001_000078,火里,PER
HCH_006_001_000079,薛徹別吉,PER
HCH_006_001_000079,哈敦,PER
HCH_006_001_000080,塔塔兒,ORG
HCH_006_001_000080,蔑兀真笑里徒,PER
HCH_006_001_000080,金,ORG
HCH_006_001_000080,金,ORG
HCH_006_001_000080,丞相,TITLE
HCH_006_001_000080,完顏襄,PER
HCH_006_001_000081,帝,PER
HCH_006_001_000081,斡難河,LOC
HCH_006_001_000081,薛徹別吉,PER
HCH_006_001_000082,帝,PER
HCH_006_001_000082,蔑兀真笑里徒,PER
HCH_006_001_000083,帝,PER
HCH_006_001_000083,帝,PER
HCH_006_001_000083,薛徹,PER
HCH_006_001_000084,薛徹,PER
HCH_006_001_000084,吉,PER
HCH_006_001_000085,帝,PER
HCH_006_001_000085,薛徹,PER
HCH_006_001_000085,薛徹,PER
HCH_006_001_000085,大丑,PER
HCH_006_001_000086,帝,PER
HCH_006_001_000086,薛徹,PER
HCH_006_001_000086,大丑,PER
HCH_006_001_000087,克烈部,ORG
HCH_006_001_000087,札阿紺孛,PER
HCH_006_001_000088,札阿紺孛,PER
HCH_006_001_000088,部長,TITLE
HCH_006_001_000088,汪罕,PER
HCH_006_001_000089,汪罕,PER
HCH_006_001_000089,脫里,PER
HCH_006_001_000089,汪罕,PER
HCH_006_001_000090,汪罕,PER
HCH_006_001_000090,忽兒札胡思盃祿,PER
HCH_006_001_000090,汪罕,PER
HCH_006_001_000091,菊兒〔罕,PER
HCH_006_001_000091,汪罕,PER
HCH_006_001_000091,哈剌溫,PER
HCH_006_001_000091,烈祖,PER
HCH_006_001_000092,烈祖,PER
HCH_006_001_000092,菊兒〔罕,PER
HCH_006_001_000092,西夏,LOC
HCH_006_001_000092,汪罕,PER
HCH_006_001_000093,汪罕,PER
HCH_006_001_000094,烈祖,PER
HCH_006_001_000094,汪罕,PER
HCH_006_001_000094,也力可哈剌,PER
HCH_006_001_000094,汪罕,PER
HCH_006_001_000094,乃蠻部,ORG
HCH_006_001_000095,乃蠻部長,TITLE
HCH_006_001_000095,亦難赤,PER
HCH_006_001_000095,汪罕,PER
HCH_006_001_000096,汪罕,PER
HCH_006_001_000096,河西,LOC
HCH_006_001_000096,回鶻,ORG
HCH_006_001_000096,回回,ORG
HCH_006_001_000096,契丹,ORG
HCH_006_001_000098,帝,PER
HCH_006_001_000098,烈祖,PER
HCH_006_001_000098,近侍,TITLE
HCH_006_001_000100,土兀剌河,LOC
HCH_006_001_000100,汪罕,PER
HCH_006_001_000101,帝,PER
HCH_006_001_000101,蔑里乞部,ORG
HCH_006_001_000101,部長,TITLE
HCH_006_001_000101,脫脫,PER
HCH_006_001_000101,莫那察山,LOC
HCH_006_001_000101,汪罕,PER
HCH_006_001_000102,汪罕,PER
HCH_006_001_000103,汪罕,PER
HCH_006_001_000103,帝,PER
HCH_006_001_000103,蔑里乞部,ORG
HCH_006_001_000104,脫脫,PER
HCH_006_001_000104,八兒忽真,ORG
HCH_006_001_000105,汪罕,PER
HCH_006_001_000105,帝,PER
HCH_006_001_000105,帝,PER
HCH_006_001_000106,乃,TITLE
HCH_006_001_000106,不（魯欲,PER
HCH_006_001_000106,帝,PER
HCH_006_001_000106,汪罕,PER
HCH_006_001_000106,黑辛八石,LOC
HCH_006_001_000106,也的脫孛魯,PER
HCH_006_001_000107,帝,PER
HCH_006_001_000107,乃,TITLE
HCH_006_001_000107,曲薛吾,PER
HCH_006_001_000107,撒八剌,PER
HCH_006_001_000108,汪罕,PER
HCH_006_001_000109,帝,PER
HCH_006_001_000109,薩里河,LOC
HCH_006_001_000110,汪罕,PER
HCH_006_001_000110,土兀剌河,LOC
HCH_006_001_000110,汪罕,PER
HCH_006_001_000110,亦剌合,PER
HCH_006_001_000110,札阿紺孛,PER
HCH_006_001_000111,曲薛吾,PER
HCH_006_001_000112,亦剌合,PER
HCH_006_001_000112,汪罕,PER
HCH_006_001_000112,汪罕,PER
HCH_006_001_000112,亦剌合,PER
HCH_006_001_000112,卜魯忽䚟,PER
HCH_006_001_000112,帝,PER
HCH_006_001_000112,博爾朮,PER
HCH_006_001_000112,木華黎,PER
HCH_006_001_000112,博羅渾,PER
HCH_006_001_000112,赤老溫,PER
HCH_006_001_000113,亦剌合,PER
HCH_006_001_000113,曲薛吾,LOC
HCH_006_001_000113,卜魯忽,PER
HCH_006_001_000114,亦,PER
HCH_006_001_000115,汪罕,PER
HCH_006_001_000116,皇弟,TITLE
HCH_006_001_000116,哈撒兒,PER
HCH_006_001_000116,乃蠻,ORG
HCH_006_001_000116,忽闌盞側山,LOC
HCH_006_001_000118,泰,PER
HCH_006_001_000118,帝,PER
HCH_006_001_000118,汪罕,PER
HCH_006_001_000118,薩里河,LOC
HCH_006_001_000118,泰赤烏部長,TITLE
HCH_006_001_000118,沆忽,PER
HCH_006_001_000118,斡難河,LOC
HCH_006_001_000119,哈答斤部,ORG
HCH_006_001_000119,散,ORG
HCH_006_001_000119,朵魯班部,ORG
HCH_006_001_000119,塔塔兒部,ORG
HCH_006_001_000119,弘吉剌部,ORG
HCH_006_001_000119,乃蠻,ORG
HCH_006_001_000119,泰赤烏,ORG
HCH_006_001_000119,阿雷泉,LOC
HCH_006_001_000119,帝,PER
HCH_006_001_000119,汪罕,PER
HCH_006_001_000120,弘,PER
HCH_006_001_000120,迭夷,PER
HCH_006_001_000121,帝,PER
HCH_006_001_000121,汪罕,PER
HCH_006_001_000121,虎圖澤,LOC
HCH_006_001_000121,盃亦烈川,LOC
HCH_006_001_000122,汪罕,PER
HCH_006_001_000122,怯,LOC
HCH_006_001_000123,札阿紺孛,PER
HCH_006_001_000123,按敦阿述,PER
HCH_006_001_000123,燕火脫兒,PER
HCH_006_001_000123,按敦阿述,PER
HCH_006_001_000123,汪罕,PER
HCH_006_001_000123,燕火脫兒,PER
HCH_006_001_000123,燕火脫兒,PER
HCH_006_001_000123,西夏,ORG
HCH_006_001_000125,汪罕,PER
HCH_006_001_000125,札阿紺孛,PER
HCH_006_001_000126,札阿紺孛,PER
HCH_006_001_000126,燕火脫兒,PER
HCH_006_001_000126,乃蠻,ORG
HCH_006_001_000127,帝,PER
HCH_006_001_000127,徹,LOC
HCH_006_001_000127,塔塔兒部,ORG
HCH_006_001_000128,部長,TITLE
HCH_006_001_000128,阿剌兀都兒,PER
